"year","age","sex","pop","deaths","mort_rx","surv_rx"
2018,59,"Male",329177,2162,0.00654639705926881,0.993453602940731
2018,6,"Female",354215,23,6.49302070850148e-05,0.999935069792915
2018,6,"Male",370995,28,7.54698673078012e-05,0.999924530132692
2018,60,"Female",331290,1630,0.00490808629800816,0.995091913701992
2018,60,"Male",321653,2335,0.00723312181227648,0.992766878187723
2018,61,"Female",318785,1706,0.00533728780683148,0.994662712193168
2018,61,"Male",308159,2522,0.00815073363066382,0.991849266369336
2018,62,"Female",306696,1861,0.0060495438461901,0.99395045615381
2018,62,"Male",296626,2646,0.00888071448469369,0.991119285515306
2018,63,"Female",296404,1953,0.00656734385744862,0.993432656142551
2018,63,"Male",284029,2860,0.0100189519335526,0.989981048066447
2018,64,"Female",298013,2079,0.00695195659624982,0.99304804340375
2018,64,"Male",282719,2981,0.010488741579715,0.989511258420285
2018,65,"Female",292661,2301,0.0078315518623335,0.992168448137666
2018,65,"Male",278642,3296,0.0117592493488887,0.988240750651111
2018,66,"Female",285237,2408,0.00840661776770783,0.991593382232292
2018,66,"Male",268184,3495,0.0129477293313304,0.98705227066867
2018,67,"Female",286641,2569,0.00892244695242346,0.991077553047576
2018,67,"Male",268738,3784,0.013982189705502,0.986017810294498
2018,68,"Female",293101,2991,0.0101528701121704,0.98984712988783
2018,68,"Male",271970,4302,0.015693799453526,0.984306200546474
2018,69,"Female",298811,3254,0.0108308536203809,0.989169146379619
2018,69,"Male",278608,4852,0.0172648149334244,0.982735185066576
2018,7,"Female",346678,19,5.48043987741121e-05,0.999945195601226
2018,7,"Male",363496,29,7.97776130263087e-05,0.999920222386974
2018,70,"Female",315080,3911,0.0123361579381489,0.987663842061851
2018,70,"Male",292024,5435,0.0184398871553548,0.981560112844645
2018,71,"Female",339855,4326,0.0126484570987492,0.987351542901251
2018,71,"Male",315843,6176,0.0193646901680928,0.980635309831907
2018,72,"Female",261886,4002,0.0151655822378518,0.984834417762148
2018,72,"Male",240337,5305,0.0218322190876561,0.978167780912344
2018,73,"Female",252895,4239,0.0166225842059961,0.983377415794004
2018,73,"Male",230038,5943,0.0255053978485856,0.974494602151414
2018,74,"Female",250366,4752,0.018801782054427,0.981198217945573
2018,74,"Male",226476,6237,0.0271652848826954,0.972834715117305
2018,75,"Female",232313,4931,0.0210027749559691,0.978997225044031
2018,75,"Male",205959,6373,0.0304716094776125,0.969528390522387
2018,76,"Female",206575,4871,0.0233050492678597,0.97669495073214
2018,76,"Male",179879,6193,0.0338460613579414,0.966153938642059
2018,77,"Female",184848,5168,0.0275726663536643,0.972427333646336
2018,77,"Male",158067,6394,0.0396492707609882,0.960350729239012
2018,78,"Female",190485,5781,0.0298952038908755,0.970104796109124
2018,78,"Male",161540,6988,0.0423427899705515,0.957657210029448
2018,79,"Female",187117,6418,0.0337210890787386,0.966278910921261
2018,79,"Male",156343,7540,0.0470917414575956,0.952908258542404
2018,8,"Female",340812,21,6.16156503751953e-05,0.999938384349625
2018,8,"Male",356965,22,6.16287929720766e-05,0.999938371207028
2018,80,"Female",179519,6851,0.0374485158067064,0.962551484193294
2018,80,"Male",147733,8014,0.0528140239884012,0.947185976011599
2018,81,"Female",168751,7494,0.0434439819592111,0.956556018040789
2018,81,"Male",135514,8306,0.0594700251312049,0.940529974868795
2018,82,"Female",158153,7794,0.0480962665843875,0.951903733415612
2018,82,"Male",123492,8300,0.0650256185268172,0.934974381473183
2018,83,"Female",147147,8520,0.0562721670728566,0.943727832927143
2018,83,"Male",112133,8540,0.0733658067231944,0.926634193276806
2018,84,"Female",133314,8565,0.0622472228581396,0.93775277714186
2018,84,"Male",98000,8532,0.083429487806309,0.916570512193691
2018,85,"Female",123624,9224,0.0719298792850682,0.928070120714932
2018,85,"Male",87528,8594,0.0935910699700517,0.906408930029948
2018,86,"Female",116217,10013,0.0825994959723156,0.917400504027684
2018,86,"Male",79030,8966,0.10736053069582,0.89263946930418
2018,87,"Female",106926,10608,0.0945201817695803,0.90547981823042
2018,87,"Male",69067,8754,0.119192854419694,0.880807145580306
2018,88,"Female",95694,10854,0.107336754976711,0.892663245023289
2018,88,"Male",58264,8345,0.133655794286996,0.866344205713004
2018,89,"Female",81854,10325,0.118655657260405,0.881344342739595
2018,89,"Male",47498,7804,0.151828793774319,0.848171206225681
2018,9,"Female",335524,25,7.4507542398517e-05,0.999925492457601
2018,9,"Male",351790,16,4.54806451429514e-05,0.999954519354857
2018,90,"Female",341488,73156,0.193500605714346,0.806499394285654
2018,90,"Male",157788,36976,0.209761964192516,0.790238035807484
